ID;Name;Gruppe
1;RobertG;Verein,Familie,Firma,Stammtisch
2;TanjaG;Verein,Familie,Kinder
3;JohannaG;Verein,Familie,Frauen
4;CarolaG;Verein,Familie,Frauen
5;FabianG;Verein,Familie
6;RudiW;Verein,Stammtisch
7;mfCharlyB;Firma
8;Aigi1;Freunde
9;Benji;Freunde
10;ChristianT;Verein,Familie
11;Irene;Verein,Frauen,Familie
12;Petra;Verein,Frauen
13;Helena;Verein,Kinder
14;ManfredS;Verein,Freunde
15;Ulli;Verein,Frauen
16;Victor;Verein,Kinder
17;WeixlA;Freunde
18;WeixlB;Freunde
19;WeixlC;Freunde
20;BettinaF;Schule
21;BrandA;Nachbarn
22;BrandB;Nachbarn
23;BrandC;Nachbarn
24;ChristianP;Schule
25;ChristianS;Schule
26;ChristofH;Schule
27;ChristophD;Kicker
28;DanielH;Kicker,Firma
29;GÃ¼ntherW;Schule
30;KarinD;Kicker,Frauen
31;ManfredD;Kicker
32;ReginaD;Kicker,Verein,Frauen
33;ReneH;Freunde,Nachbarn
34;WalterD;Kicker,Verein,Schule
35;WolfgangL;Schule
36;SebestaC;Freunde,Nachbarn
37;MarcelW;Nachbarn
38;Schoissi;Nachbarn
39;Georg;Freunde
40;KarlN;Freunde
41;MAMA;Freunde,Frauen
42;Michele;Freunde
43;WStefan;Freunde
44;Xtrawurst;Freunde
45;MartinS;Firma
46;StefanG;Familie,Stammtisch
47;DominikL;Firma
48;MartinAu;
49;MichaelD;Firma
50;Schnee;Firma